stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;201705;5.6;262;753.5;12.4;-8.0;1.8;69;204.2;79.7;243;177.1;39;4.2;68;3.0
SAE;201706;8.5;237;756.2;16.5;-3.8;6.8;4;247.2;85.4;62;156.6;34;6.1;74;6.0
SAE;201707;8.5;211;756.8;16.7;-0.8;6.9;3;370.1;86.0;0;142.8;31;5.9;79;29.6
SAE;201708;8.8;218;758.8;18.0;-0.7;8.4;0;242.5;80.2;0;187.3;45;4.7;67;2.6
SAE;201709;5.7;139;752.7;8.8;-5.2;0.9;59;254.7;87.5;6;101.4;28;5.5;81;19.2
SAE;201710;4.5;127;756.5;12.6;-9.6;1.6;65;255.8;67.3;12;172.2;52;7.4;56;4.6
SAE;201711;3.1;72;747.7;4.8;-14.7;-4.9;141;314.0;74.9;68;105.2;38;8.6;68;11.0
SAE;201712;2.6;55;745.4;3.4;-17.3;-7.8;306;518.4;76.1;282;107.7;42;9.2;68;14.1
SAE;201801;3.3;59;746.3;2.0;-14.1;-5.2;203;573.9;78.7;406;98.6;36;10.4;-;9.0
SAE;201802;2.1;119;740.1;-0.6;-26.0;-11.2;74;197.5;74.7;532;126.2;44;6.5;-;11.7
SAE;201803;3.1;152;737.1;1.3;-16.9;-6.7;95;227.8;82.8;579;77.9;22;6.8;-;4.8
SAE;201804;4.2;241;750.2;9.2;-10.1;0.9;12;72.5;66.2;533;225.4;57;6.1;-;8.3
SAE;201805;6.4;262;752.4;11.7;-4.0;3.4;14;97.0;82.5;354;197.6;44;3.8;-;38.5
SAE;201806;7.7;251;755.6;13.7;-2.3;5.4;0;153.1;85.1;125;171.3;38;2.9;-;12.0
SAE;201807;8.6;242;757.3;16.3;1.9;7.8;0;64.8;81.7;3;202.2;44;3.3;-;31.3
SAE;201808;8.9;195;758.6;17.0;-4.9;8.1;5;253.1;82.2;0;149.3;36;3.6;-;10.8
SAE;201809;6.9;191;758.9;13.7;-6.4;5.7;4;193.9;75.4;0;207.7;58;4.3;-;7.4
SAE;201810;4.7;132;753.5;10.2;-7.6;2.6;27;77.1;64.8;2;211.0;63;5.3;-;3.4
SAE;201811;3.6;86;749.5;8.1;-11.8;-1.4;26;25.2;66.5;2;164.3;59;5.8;-;2.9
SAE;201812;3.1;46;750.3;2.7;-14.9;-5.6;221;648.5;75.1;81;80.7;31;9.4;-;2.0
SAE;201901;2.1;65;742.6;-0.7;-19.0;-11.3;360;561.0;80.5;328;94.3;34;7.6;-;11.3
